artist_n,artist_s
1,Cake
2,Can
3,Chet Faker
4,Childish Gambino
5,Counting Crows
6,Chicago
7,Cocteau Twins
8,Com Truise
9,Cassie
10,Chris Isaak
11,Ciara
12,Curve
13,Chicane
14,Coldplay
15,Conjure One
16,Crazy P
17,"10,000 Maniacs"
18,Air
19,All About Eve
20,America
21,AC/DC
22,Aleksi Perälä
23,Alela Diane
24,Alice in Chains
25,Amy Grant
26,Aya
27,Alannah Myles
28,Alicia Keys
29,Audioslave
30,9 Lazy 9
31,Aerosmith
32,AFX
33,Amon Tobin
34,Aphex Twin
35,Arcade Fire
36,Autechre
37,Bananarama
38,Blood Orange
39,Bibio
40,Boyz II Men
41,Big Boi
42,Blink 182
43,Bush
44,Ben Howard
45,Boards of Canada
46,Bruce Hornsby
47,Bryan Adams
48,B12
49,Beastie Boys
50,Beck
51,Bell Biv DeVoe
52,Biosphere
53,Blondie
54,Bob Dylan
55,Burial
56,Billy Idol
57,Björk
58,Bonobo
59,Britney Spears
60,Bat for Lashes
61,Beach House
62,Berlin
63,Bicep
64,Bad Company
65,Beirut
66,Boz Scaggs
